id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1JM5o45UZyV5V0PxGjn0O8,Kapitel 222 - Der Page und die Herzogin,1,128902,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.724,0.162,6.0,-22.303,1.0,0.922,0.462,0.0,0.272,0.372,116.1,4
1K3V0YKcp8ttWtknl22U3C,Qué Dirá Mamá - Remasterizado,0,159587,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],12-07-1926,0.448,0.471,9.0,-13.874,1.0,0.0525,0.996,0.914,0.578,0.962,71.375,4
1KEpB6kjA4PStv0kADL0N3,Kapitel 161 - Der Page und die Herzogin,1,132507,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.7,0.183,9.0,-22.473,1.0,0.921,0.337,2.11e-06,0.208,0.251,104.035,1
1KcUcLpgJaiZ9tCi5Bnk8W,Love Me or Leave Me - Take 3,4,158507,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.634,0.131,5.0,-20.531,0.0,0.0403,0.993,0.84,0.165,0.558,95.215,4
1Lbm5IC3QN56LtoyvQMUpH,Clap Yo' Hands (Bonus Track),0,163493,['George Gershwin'],['1YuknfkSYTTbolRpwZBOv4'],1926,0.606,0.217,0.0,-18.05,1.0,0.0454,0.995,0.833,0.115,0.789,95.589,4
1M094y6jhzEhE7Hk4n35JX,Carolina Shout,3,156320,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.525,0.302,7.0,-17.964,1.0,0.0419,0.988,0.78,0.17,0.89,121.195,4
1MDb74XdC2JE5HJcubuc3T,Yo Quiero un Novio Chauffer - Remasterizado,0,148747,"['Francisco Canaro', 'Azucena Maizani']","['2maQMqxNnlRrBrS1oAsrX9', '0B2RE6SzZ4QsCRkl1nMz1n']",15-07-1926,0.632,0.26,9.0,-8.986,1.0,0.142,0.995,0.397,0.141,0.374,129.432,4
1MIlmAfwMM7NZFctmsKTWa,Kapitel 324 - Der Page und die Herzogin,1,107665,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.721,0.137,9.0,-23.879,1.0,0.884,0.41,0.0,0.158,0.507,117.319,3
1MJeNrEs6ChFUzB8M43V8Q,L'amour Excuse Tout,0,150640,['Georgius'],['0Yly6PvJghpLD3Lj8Kvpcj'],1926,0.655,0.433,6.0,-15.925,0.0,0.409,0.989,0.0,0.335,0.768,92.762,3
1NEXdHGFup32zrXdAy56Lb,Barba E' Choclo - Remasterizado,0,169000,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.666,0.274,9.0,-10.664,1.0,0.0698,0.996,0.929,0.322,0.711,123.522,4
